,Total,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4
pKi (RMSE),0.462 ± 0.010,0.47 ± 0.02,0.45 -0.02/+0.03,0.45 ± 0.02,0.47 -0.02/+0.03,0.46 -0.03/+0.02
pKi (Q2),0.69,0.68,0.7,0.7,0.65,0.7
pKi (CI),0.76,0.75,0.77,0.78,0.73,0.77
avg_regr (RMSE),0.462 ± 0.010,0.47 ± 0.02,0.45 -0.02/+0.03,0.45 ± 0.02,0.47 -0.02/+0.03,0.46 -0.03/+0.02
avg_regr (Q2),0.69,0.68,0.7,0.7,0.65,0.7
avg_regr (CI),0.76,0.75,0.77,0.78,0.73,0.77
